"x","yhat"
43.25,0.418975559016301
43.4992,0.440521468102392
43.7484,0.461734855581445
43.9976,0.482883159564178
44.2468,0.504233818161304
44.496,0.526054269483538
44.7452,0.548611951641593
44.9944,0.571203763814104
45.2436,0.594122591091028
45.4928,0.615774915862312
45.742,0.636425471498426
45.9912,0.656648754535129
46.2404,0.677019261508179
46.4896,0.698111488953332
46.7388,0.720499933406346
46.988,0.74475909140298
47.2372,0.771565728421299
47.4864,0.819593274329441
47.7356,0.880498913667751
47.9848,0.922686198417847
48.234,0.928702482856558
48.4832,0.928777104583546
48.7324,0.917002198412382
48.9816,0.902604906099874
49.2308,0.887208621737648
49.48,0.870663932495927
49.7292,0.852821425544935
49.9784,0.834385726649809
50.2276,0.81739249895581
50.4768,0.798981508921973
50.726,0.779955253384196
50.9752,0.760629468688342
51.2244,0.739429568002347
51.4736,0.729227940164483
51.7228,0.746580900296861
51.972,0.774335693528201
52.2212,0.794276436066758
52.4704,0.806802708163635
52.7196,0.825874076610243
52.9688,0.850098178889602
53.218,0.878061200296935
53.4672,0.908349326127463
53.7164,0.939548741676411
53.9656,0.970245632239002
54.2148,0.999026183110456
54.464,1.024476579586
54.7132,1.04518300696085
54.9624,1.05973165053024
55.2116,1.06670869558938
55.4608,1.06470032743351
55.71,1.05271689984708
55.9592,1.03941505646397
56.2084,1.02796597471057
56.4576,1.01920990610164
56.7068,1.00872410799208
56.956,0.995661521965977
57.2052,0.982855866321561
57.4544,0.973145418582198
57.7036,0.969368456271255
57.9528,0.971006932711029
58.202,0.975390108004178
58.4512,0.976000159341384
58.7004,0.972939741608949
58.9496,0.967604323845899
59.1988,0.956039703623939
59.448,0.949753938729617
59.6972,0.946202577680587
59.9464,0.941831304112278
60.1956,0.93320650207246
60.4448,0.916894555608903
60.694,0.892238459355338
60.9432,0.868974283349274
61.1924,0.851036949257331
61.4416,0.8347460242243
61.6908,0.818259203499393
61.94,0.805503472304894
62.1892,0.801642988290584
62.4384,0.827038493897804
62.6876,0.832065755948347
62.9368,0.832999718017441
63.186,0.833011884660197
63.4352,0.832239234507758
63.6844,0.830818746191271
63.9336,0.828887398341879
64.1828,0.826582169590726
64.432,0.824040038568956
64.6812,0.821397983907715
64.9304,0.818792984238148
65.1796,0.816362018191397
65.4288,0.814112834195806
65.678,0.811166755213714
65.9272,0.807434077654342
66.1764,0.803039655591746
66.4256,0.798108343099985
66.6748,0.792764994253119
66.924,0.787134463125203
67.1732,0.781341603790298
67.4224,0.775511270322461
67.6716,0.76976831679575
67.9208,0.764237597284223
68.17,0.759043965861938
